Source,Target,SourceYear,TargetYear,Book,Lot
Heber (1834),Britwell (1924),1834,1924,363,4918
Huntington (1917),Hagen (1918),1917,1918,370,177
Bangs (1901),Hagen (1918),1901,1918,372-2,76
Kemble (1801),Devonshire (Undated),1801,,360,
Devonshire (Undated),Huntington (1918),,1918,360,
Huth (1913),Steeves (1916),1913,1916,366,2943
Hoe (1912),Huntington (1917),1912,1917,362B,1133
Devonshire (Undated),Huntington (Undated),,,367,
McKee (1901),Bangs (1901),1901,1901,372-2,2367
Steeves (1916),Clawson (1926),1916,1926,366,232
Corser (1871),Huth (1913),1871,1913,371,68
Huth (1913),Hagen (1918),1913,1918,371,2953
Kemble (1800),Devonshire (Undated),1800,,362A,
Lord Willoughby de Broket (Undated),Am. Art Assoc. (1926),,1926,362,
Sotheby’s (1858),Britwell (1922),1858,1922,510,596
Huntington (Undated),English Literature from London (1919),,1919,504,
Heber (1834),Britwell (1922),1834,1922,507,2563
J.M.Rice (1834),Britwell (1924),1834,1924,508,950
Pinkerton (1812),Heber (1834),1812,1834,507,85
English Literature from London (1919),Clawson (1926),1919,1926,504,43a
Chew (Undated),Huntington (Undated),,,504,
Gaisford (1890),Chew (Undated),1890,,504,935
Halsey (Undated),Huntington (1918),,1918,746,
Hibbert (1829),Britwell (1922),1829,1922,747,5554
Fountaine (1902),Clawson (1926),1902,1926,737,597
Church (Undated),Huntington (1916),,1916,739,
Col. Grant (Undated),Locker (Undated),,,739,
Locker (Undated),Church (Undated),,,739,
Caldecott (1833),Britwell (1922),1833,1922,750,911
Huntington (1916),Thomas Bell (1917),1916,1917,739,1098
Bridgewater (Undated),Huntington (1919),,1919,751,
Ross Winans (Undated),Jones (1919),,1919,743,
Bindley (1819),Hibbert (1829),1819,1829,747,1787
Amsterdam sale (1882),Alfred Morrison (1919),1882,1919,MS.156,165
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.167,
Sotheby’s (1881),Alfred Morrison (1919),1881,1919,MS.155,170
Thorn Drury (1932),Steevens (1932),1932,1932,MS.2bb,2395
Selby (Undated),Thorn Drury (1931),,1931,216,
Sotheby’s (1902),Selby (Undated),1902,,216,429
Hagen (1918),Clawson (1920),1918,1920,MS.10a,282
R.S.Turner (1888),Sotheby’s (1932),1888,1932,217,7490
Poor (1908),Huntington (1917),1908,1917,215,262
Lefferts (1902),Poor (1908),1902,1908,215,262
Jones (1923),Clawson (1926),1923,1926,664,127
Devonshire (Undated),Huntington (1918),,1918,666,
Kemble (1797),Devonshire (Undated),1797,,666,
Kemble (1797),Devonshire (Undated),1797,,663,
Arbury (1920),G.D.Smith (1920),1920,1920,667,202
Huntington (Undated),Jones (1923),,1923,664,
Bridgewater (Undated),Huntington (Undated),,,664,
Wright (1787),Kemble (1797),1787,1797,663,1814
Devonshire (Undated),Huntington (1918),,1918,663,
Reginald Cholmondeley (1897),W.A. White (Undated),1897,,665,144
Mostyn (1919),Clawson (1926),1919,1926,674,209
Kemble (Undated),Devonshire (Undated),,,675,
Wright (1787),Kemble (1797),1787,1797,666,1814
Fowle (Undated),Locker (Undated),,,662,
Mostyn (1919),Clawson (1926),1919,1926,673,208
Locker (Undated),W.A. White (Undated),,,662,
Devonshire (Undated),Huntington (Undated),,,675,
Devonshire (Undated),Huntington (1918),,1918,575,
Comerford (1881),W.A. White (Undated),1881,,576,2309
Kemble (1798),Devonshire (Undated),1798,,575,
Hoe (1911),Hagen (1918),1911,1918,579,2304
Huth (1914),Chew (1924),1914,1924,583,4264
Kemble (1798),Devonshire (Undated),1798,,574,
Devonshire (Undated),Huntington (Undated),,,574,
William Upcott (Undated),John Dillon (1869),,1869,MS.35A,
Lady Evelyn (Undated),William Upcott (Undated),,,MS.35A,
John Dillon (1869),Alfred Morrison (1919),1869,1919,MS.35A,
Huntington (Undated),English Literature from London (1919),,1919,566,
Lefferts (1902),Hoe (1912),1902,1912,565,811
Utterson (1852),Corser (1870),1852,1870,567,994
Kemble (Undated),Devonshire (Undated),,,566,
Kemble (Undated),Devonshire (Undated),,,563,
Devonshire (Undated),Huntington (Undated),,,558,
Huntington (Undated),English Literature from London (1919),,1919,563,
Corser (1870),Huth (1914),1870,1914,567,377
Hoe (1912),Chew (1924),1912,1924,565,1789
Devonshire (Undated),Huntington (Undated),,,566,
Kemble (1798),Devonshire (Undated),1798,,558,
Devonshire (Undated),Huntington (Undated),,,563,
