Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
Thomas Wilson,Vitellius CXI,Undirected,1613,1612,1614,"(of fol. 56, in art. 8) Wilson, ¢.1613 (35.6",True,True,True
Arthur Agarde,Nero EI,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Lord William Howard,Tiberius EVI,Undirected,1616,1616,1617,"Lord William Howard, 1616, by 1617 (110.1, 111.14: this or Otho D.III",False,True,True
Henry Montagu,Cleopatra FVI,Undirected,1631,,1631,Montagu,True,True,True
St Lo Kniveton,Titus DXII,Undirected,1611,1611,,St Lo Kniveton,True,True,True
Henry Howard,Claudius EIII,Undirected,1612,1611,1613,"Henry Howard, c.1612 (21.11, 52.6: this or Tib. C.VII)",False,True,True
Henry Montagu,Titus FIV,Undirected,1631,,1631,Henry Montagu,True,True,True
James Ussher|William Laud|George Abbot,Claudius EIV,Undirected,1634,1633,1635,"Ussher (or William Laud or George Abbot), ? ¢.1634 (135.1: (2) this or Nero C.VII, or (1) Jul. D.III or Faust. B.IV)",False,False,False
Francis Tate,Domitian XVIII,Undirected,1612,,1612,"(of at least fols 38-125, artt. 8-14) Francis Tate, by 1612 (22.7).",True,True,True
James Ussher|William Laud|George Abbot,Claudius EIV,Undirected,1634,1633,1635,Ussher,False,False,False
Henry Bourchier,Vitellius BII,Undirected,1653,1653,1654,Henry Bourchier,True,True,True
Edward Herbert,Caligula AIII,Undirected,1636,1636,1636,Edward Herbert,False,True,True
Oliver St John,Titus BXIII,Undirected,1609,1609,,"Oliver St John, ? 1609 or later (84.1: this or Tit. B.XII)",False,True,True
Lord William Howard,Claudius BVII,Undirected,1635,1635,1636,"Sir William Howard, 1635 or 1636 (114.10: (2) ? this or (1) ? a printed book)",False,True,True
John Selden,Caligula DX,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
Richard Bancroft,Cleopatra FI,Undirected,1608,1607,1610,"Richard Bancroft, 1607-10, by hand of Zachariah Pasfeild (30.6: this, Cleo. E.I-III or F.I1)",False,True,True
St Lo Kniveton,Tiberius CXIII,Undirected,1616,1615,1617,"St Lo Kniveton, 1615-16, by 1617 (45.14, 111.36)",True,True,True
John Selden,Caligula EIII,Undirected,1621,1621,1621,"(? distrib- uted in Calig, D.VI-E.IV) John Selden, 1621 (2.86).",True,True,True
Bulstrode Whitelocke,Galba BIX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Arthur Agarde,Vitellius DII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Edward Herbert,Vitellius BXXI,Undirected,1636,1636,1636,"Edward Herbert, 1636 (116.3 and 118.4: ? fols 194-208, art. 74-76, of this and / or ? Otho C.X, ? Vit. C.XI, ? XVI).",False,True,True
Henry Bourchier,Cleopatra EIV,Undirected,1653,1653,1654,Bourchier,True,True,True
George Calvert,Faustina BVII,Undirected,1616,1616,1616,"(of fols 72-136, art 20) George Calvert, 1616 (107.1)",True,True,True
Arthur Agarde,Nero DX,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.9, 77.1)",True,True,True
Patrick Young,Julius AXI,Undirected,1616,1615,1617,Patrick Young,True,True,True
John Selden,Vespasian DX,Undirected,1640,1640,1640,"John Selden, 1640 (208.3: this or Cleo. C.X).",False,True,True
James Ussher,Vitellius CIX,Undirected,1621,1621,1621,"James Ussher, 1621 (2.8)",True,True,True
St Lo Kniveton,Titus DXII,Undirected,1617,,1617,"Kniveton, by 1617 (111.38: ? this).",True,True,True
John Selden,Vitellius CIX,Undirected,1621,1621,1621,"John Selden, 1621 (2.85)",True,True,True
St Lo Kniveton,Vespasian FVII,Undirected,1616,1615,1617,"St Lo Kniveton, 1615-16, by 1617 (45.21, 111.33: ? this).",True,True,True
William Le Neve,Cleopatra AIII,Undirected,1641,1641,1641,William Le Neve,True,True,True
James Ussher,Domitian VIII,Undirected,1641,1641,1641,Ussher,True,True,True
Bulstrode Whitelocke,Galba DVIII,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Selden,Galba AIX,Undirected,1638,1637,1639,John Selden,True,True,True
Mr Colwell,London British Library Additional MS 46410,Undirected,1622,1621,1623,"‘Mr Colwell’, 1621-23 (4.46)",True,True,True
Henry Savile,Otho BVI,Undirected,1611,1611,1611,"Sir Henry Savile, 1611 (Jul. C.III, fol. 333",True,True,True
Richard Bancroft,Julius AXI,Undirected,1608,1608,1608,"Bancroft, Sept. 1608, by hand of Zachariah Pasfeild (9.2: (1) this or (2) Nero AV or Dom. XI",True,True,True
John Selden,Vespasian EIII,Undirected,unknown date,,,John Selden,True,True,True
Henry Howard,Cleopatra FVI,Undirected,1612,1611,1613,"(of at least fols 129-316, art. 11) Henry Howard, ¢.1612 (21.10, 52.5), cf. Bodl., MS Smith 71 (SC 15677), p.18",True,True,True
Peter Balle,Claudius CXI,Undirected,1651,1651,1651,"Peter Balle, 1651 (127: this, Tib. A:VI, Nero A.XV, XVI, Vesp. A.XIX, Tit. A.I or Dom. XV)",False,True,True
Edward Herbert,Caligula DVI,Undirected,1636,1636,1636,"(of part of Calig. D-VI + VII) Edward Herbert, 1636 (117.9 and 119.3).",True,True,True
,Tiberius AIX,Undirected,1621,1621,1621,"John Barkham, 1621 (2.76: this, or CUL, Add. MS 3578 + ? Tib. B.VID",True,True,True
James Ussher,Nero CIV,Undirected,1625,1625,1625,"James Ussher (this is probably one of the psalters in the Gallican version that Ussher borrowed in 1625: Jul. C.III, fol. 383. For his collation, see Bodl., MS Add. A.91 (SC 27719), fol. 111.).",True,True,True
John Selden,Tiberius CXIII,Undirected,1640,1640,1640,"John Selden, 1640 (208.4).",True,True,True
George Carew,Titus CI,Undirected,1616,1616,1616,George Carew,False,True,True
Richard Bancroft,Cleopatra EIII,Undirected,1608,1607,1610,Richard Bancroft,False,True,True
Ralph Starkey,Nero DII,Undirected,1622,1622,1622,"Ralph Starkey, 1622 (2.123)",True,True,True
William Camden,Caligula EXI,Undirected,1614,1612,1616,"Camden, 1612-16 (75.14: ? this)",True,True,True
James Ussher,Vitellius DVII,Undirected,1621,1621,1621,"James Ussher, 1621 (2.12: this or Vesp. A.IX).",False,True,True
John Borough,London British Library Additional MS 46410,Undirected,1640,1640,1640,"John Borough, 1640 (201.1)",True,True,True
Henry Montagu,Titus FIV,Undirected,1631,,1631,"? Montagu, by 1631 (120.1).",True,True,False
Richard Cecil,Caligula DI,Undirected,1604,1604,,"Richard Cecil, after Christmas 1604 (129.3: fols 37-84y, art. 6, of this, or Calig. B.IV).",False,True,True
John Selden,Galba BVII,Undirected,1621,1621,1621,John Selden,True,True,True
Rob Scauen,Domitian III,Undirected,1639,1639,1639,‘Rob Scauen’,True,True,True
James Ussher,Vespasian AXIV,Undirected,1640,1640,1640,"Ussher, 1640 (199.1: (1) this or (2) Tib. A.XV)",False,True,True
John Selden,Otho BV,Undirected,1638,1638,1638,John Selden,True,True,True
John Selden,Nero EVI,Undirected,1638,1637,1639,"Selden, c.1638 (163.22: this, Claud. E.VI or Nero C.IX).",False,True,True
John Selden,Julius FIII,Undirected,1621,1621,1621,John Selden,True,True,True
John Bradshaw,Julius CVI,Undirected,1631,,1631,John Bradshaw,True,True,True
James Ware,Nero DIII,Undirected,1651,1651,1651,"James Ware, 1651 (228.2).",True,True,True
Francis Tate,Galba AVIII,Undirected,1612,,1612,"Francis Tate, by 1612 (22.4).",True,True,True
Robert Cecil,Caligula DXII,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
John Selden,Cleopatra DI,Undirected,1638,1637,1639,John Selden,True,True,True
Mr Morgan,Caligula AXIII,Undirected,1616,1616,1616,Mr Morgan,True,True,True
William Dugdale,Tiberius CVII,Undirected,1639,1639,1639,William Dugdale,False,True,True
John Egerton,Vespasian BXXII,Undirected,1626,1625,1627,"John Egerton, c.1626 (Jul. C.III, fol. 165: ? this)",True,True,True
Thomas Shirley,Claudius CIII,Undirected,1653,1653,1653,"Shirley, 1653 (238)",True,True,True
William Camden,Otho DIII,Undirected,1604,1604,,"William Camden, after Christmas 1604 (129.1: (2) this, Jul. D.II, Tib. E.VI or Claud. D.1, or (1) Nero D.D",False,True,True
Thomas Brudenell,Tiberius AV,Undirected,1627,1627,1627,"(of this or fols 71-100 of Cleo. C.X) Thomas Brudenell, 1627 (Vesp. F.XIII, no. 329).",False,True,True
Richard Bancroft,Otho BV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.15)",True,True,True
George Buc,Tiberius CXIII,Undirected,1611,1611,,George Buc,True,True,True
Thomas Howard,Otho BVI,Undirected,1631,,1631,"Thomas Howard, by 1631 (113.13: presumably the same loan as is noted against the entries for the manuscript in 6018, fol. 111, and in 36682).",True,True,True
William Le Neve,Nero DVI,Undirected,1641,1641,1641,"William Le Neve, 1641 (213.1: ? this, ? Vit. C.IV or ? Vesp. C.XIV)",False,True,True
St Lo Kniveton,Julius EIII,Undirected,1617,,1617,St Lo Kniveton,True,True,True
Richard Bancroft,Titus BI,Undirected,1610,1609,1611,"(of fols 194-213, art. 60) Richard Bancroft or George Abbot, c.1610, by hand of Hart (32.3)",True,True,False
James Ussher,Tiberius B1,Undirected,1652,1652,1652,"James Ussher, 1652 (230.1)",True,True,True
Robert Cecil,Caligula DVIII,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
Richard Bancroft,Vespasian DIV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.22).",True,True,True
Arthur Agarde,Claudius CIX,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Bulstrode Whitelocke,Galba CXI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Borough,Claudius DX,Undirected,1621,1621,1621,"John Borough, 1621 (2.77",True,True,True
Bulstrode Whitelocke,Galba BX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Selden,Caligula DVII,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
John Hough,Claudius EI,Undirected,1694,1690,1699,John Hough,True,True,True
Arthur Agarde,Caligula AXII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Richard Bancroft|George Abbot,Cleopatra FII,Undirected,unknown date,,,Bancroft,False,True,True
John Laughton,Otho DIX,Undirected,1634,1633,1635,John Laughton,True,False,True
John Selden,Otho EVII,Undirected,1638,1637,1639,"Selden, c.1638 (163.8: ? this).",True,True,True
John Barkham,Cambridge University Library Additional MS 3578,Undirected,1621,1621,1621,"John Barkham, 1621 (2.76: this + ? Tib. B.VII, or Tib. A.IX)",False,True,True
Richard Montague,Tiberius CXI,Undirected,1621,1621,1621,Richard Montague,True,True,True
Elias Ashmole,Julius FXI,Undirected,1660,1660,1660,"Elias Ashmole, 1660 (262.1: this or Jul. C.TX).",True,True,True
George Carew,Titus BVI,Undirected,1604,1604,,"(of fols 5-6, art. 2, and / or Calig. D.[IX) George Carew (d. 1612), after Christmas 1604 (129.13)",False,True,True
Richard Bancroft,Vitellius EXIV,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.2: (2) this or (1) Vit. D.VII)",False,True,True
Lord William Howard,Titus CI,Undirected,1614,1613,1615,"? Howard, c.1614 (121.7: ? fols 2-162, artt. 1-25, of this or ? Jul. C-VIII)",False,True,True
Patrick Young,Otho CXIV,Undirected,1616,1615,1617,Patrick Young,True,True,True
Richard Bancroft,Galba AI,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
,Claudius CIV,Undirected,1621,1621,1621,1621 (2.43),True,True,True
William Le Neve,Otho CI,Undirected,1641,1641,1641,William Le Neve,True,True,True
Henry Bourchier,Tiberius BXIII,Undirected,1621,1621,1621,"Henry Bourchier, 1621 (2.82)",True,True,True
Arthur Agarde,Tiberius AX,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.10, 77.8)",True,True,True
Augustine Vincent,Vitellius AII,Undirected,1621,,1621,Augustine Vincent,False,True,True
Arthur Agarde,Vespasian AVI,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.32: ? (1) fols 61-89, artt. 4-6, of this or ? (2) Tit. AIT).",False,True,True
William Camden,Vitellius EVIII,Undirected,1623,,1623,"William Camden, date unknown but before 1623 (143: fols 112-49v, Smith art. 22, of this, Claud. A.VI, Otho A.XIV, C.VII, Vit. A.III, D.XTII, Vesp. A.XIII or Dom. XII).",False,True,True
George Calvert,Claudius BV,Undirected,1616,1616,1616,George Calvert,True,True,True
Paul Thomson,London British Library Harley MS 988,Undirected,1617,,1617,Paul Thomson,True,True,True
Bulstrode Whitelocke,Galba BI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Bulstrode Whitelocke,Otho EVIII,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (235.4).",True,True,True
Richard Bancroft,Otho BIII,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
William Camden,Nero DI,Undirected,1606,1606,1606,Camden,True,True,True
John Selden,Titus EX,Undirected,1640,1639,1641,John Selden,True,True,True
Edward Herbert,Caligula DVII,Undirected,1636,1636,1636,"(of part of Calig. D.VI + VII) Edward Herbert, 1636 (117.9 and 119.3).",True,True,True
George Abbot,Titus DXIX,Undirected,1611,1611,1611,"George Abbot, 1611 (31.1: (1) this, Tit. D.I or Norwich, Castle Museum, MS 158.926/4g3, or (2) Dublin, Trinity College, MS 244 (C.3.12))",False,True,True
Arthur Agarde,Cleopatra CVII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
James Ussher|William Laud|George Abbot,Faustina BIV,Undirected,1634,1633,1635,"Ussher (or Laud or Abbot), ? ¢.1634 (135.2: (1) this or Jul. D.II, or (2) Claud. E.IV or Nero C-VII).",False,True,False
John Selden,Titus FI,Undirected,1641,1641,1641,"John Selden,",True,True,True
Francis Tate|John Harington’s tutor|William Crashaw,Titus DI,Undirected,1612,,1612,"Francis Tate,",False,True,True
Arthur Agarde,Nero DI,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Benjamin Jonson,Julius AII,Undirected,1624,1624,1624,Benjamin Jonson,True,False,True
Richard Bancroft,Caligula AVIII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.1: this or Vit. EXXVII).",False,True,True
Edward Herbert,Caligula DIX,Undirected,1636,1636,1636,"(of part of this) Edward Herbert, 1636 (117.10 and 119.4).",True,True,True
Henry Spelman|Henry Spelman,Tiberius AXIII,Undirected,1616,,1616,Henry Spelman,True,True,True
John Selden,Caligula DXII,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
"John Speed, Arthur Agarde, or St Lo Kniveton",Titus DXII,Undirected,1617,,1617,"unknown borrower, by 1616-17, but probably Speed, Agarde or Kniveton (100.2: ? this)",True,True,False
John Harington,Augustus I.II34,Undirected,1611,1610,1612,John Harington,True,True,True
Robert Cecil,Caligula DIX,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, c.1605-12 (12.1)",True,True,True
John Laughton,Tiberius EI,Undirected,1634,1633,1635,? John Laughton,True,False,False
William Camden,Otho CVII,Undirected,1623,,1623,William Camden,False,True,True
Peter Balle,Nero AXV,Undirected,1651,1651,1651,"Peter Balle, 1651 (127: this, Tib. A-VI, Claud. C.XI, Nero A.XVI, Vesp. A.XIX, Tit. A.I or Dom. XV).",False,True,True
Simonds D’Ewes,Tiberius CXIII,Undirected,1626,1626,1626,"Simonds D’Ewes asked to borrow the manuscript, 1626 (82.16).",True,True,True
William Burton,Claudius EIII,Undirected,1627,1627,1627,William Burton,False,True,True
Augustine Vincent,Otho BV,Undirected,1626,,1626,Augustine Vincent,True,True,True
Arthur Agarde,Vitellius AVIII,Undirected,1613,1612,1615,Agarde,True,True,True
William Camden,Julius DIII,Undirected,1604,1604,,"William Camden, after Christmas 1604 (129.1: (2) this, Tib.E.VI, Claud. D.I or Otho D.III, or (1) Nero D.1)",False,True,True
John Selden,Tiberius AIX,Undirected,1653,1653,1653,"Selden, 1653 (237.4)",True,True,True
John Selden,Galba BIX,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XID)",True,True,True
Richard Bancroft,Nero AV,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
John Williams,Cleopatra BXIII,Undirected,1611,1610,1612,"(of (1) at least fols 59-89, artt. 11, 12, of this or (2) Nero E.I) John Williams, c.1610-12 (39.3)",False,True,True
Richard Bancroft,Cleopatra DIX,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
Bulstrode Whitelocke,Galba DI,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
John Selden,Vespasian AXII,Undirected,1638,1637,1639,"John Selden, ¢.1638 (159.1)",True,True,True
Patrick Young,Cleopatra DI,Undirected,1616,1615,1617,Patrick Young,True,True,True
Richard Bancroft,Nero AVIII,Undirected,1608,1608,1608,Richard Bancroft,True,True,True
Lord William Howard,Otho DIII,Undirected,1616,1616,1617,Lord William Howard,False,True,True
Robert Bowyer,Nero DVI,Undirected,1613,1612,1614,"Robert Bowyer, ¢.1613 (36.15)",True,True,True
Patrick Young,Domitian V,Undirected,1616,1615,1617,Patrick Young,True,True,True
St Lo Kniveton,Titus BXI,Undirected,1615,,1615,"(of part II, fol. 88, art. 111) Kniveton, by 1615 (45.11)",True,True,True
John Williams,Caligula AXIII,Undirected,1624,1624,1624,"Humphrey Henchman for John Williams, ? 1624 (2.102: this or Calig. A-XII)",False,False,True
Percy Herbert,Otho BXIV,Undirected,1661,1661,1662,"Percy Herbert, Lord Powys",True,True,True
Henry Howard,Faustina CIII,Undirected,1614,1613,1615,? Henry Howard,True,True,True
Sidney Montague,Faustina AIV,Undirected,1639,1639,1639,Sidney Montague,True,True,True
John Selden,Tiberius BX,Undirected,1638,1637,1639,"Selden, ¢.1638 (163.3: (1) this, Calig. A.IV, Vit. F.XVIII or XIX, or (2) Tib. A.I or Vit. A.IV)",False,True,True
Patrick Young,Claudius EV,Undirected,1616,1615,1617,"Patrick Young, ¢.1616 (49.26, 134.6, the latter either this or Claud. D.IX)",False,True,True
James Ussher,Vitellius EXI,Undirected,1621,1621,1621,James Ussher,True,True,True
George Calvert,Claudius EV,Undirected,1616,1616,1616,"George Calvert, 1616 (107.3: this or Claud. D.IX).",False,True,True
Arthur Agarde,Vespasian EII,Undirected,1613,1612,1615,Arthur Agarde,False,True,True
Mr Gyze,Domitian VIII,Undirected,1653,1653,1653,"‘Mr Gyze’, ? 1653 (240).",True,True,True
James Ussher,Otho AIX,Undirected,1646,1646,1647,"James Ussher, 1646 or 1647 (226.1)",True,True,True
William Camden,Otho AXIV,Undirected,1623,,1623,"William Camden, date unknown but before 1623 (143: Smith art.2 of this, Claud. A-VI, Otho C.VIL, Vit. A.III, D.XIII, E.VIII, Vesp. A.XIII or Dom. XII).",False,True,True
William Cecil,Titus CVI,Undirected,1614,1614,1614,"(of fols 4-171, artt. 1-7) William Cecil, earl of Salisbury, ? 1614 (Jul. C.IH, fol. 82)",True,True,True
William Burton,Tiberius CVII,Undirected,1627,1627,1627,"William Burton requested a loan of this or Claud. E.ITT in 1627: Jul. C.1H, fol. 51.",False,True,True
William Camden,Caligula EXII,Undirected,1614,1612,1616,"William Camden,",True,True,True
Mr Taylor,Vitellius EXV,Undirected,1625,1625,,Mr Taylor,True,True,True
John Selden,Vitellius FXII,Undirected,1641,1641,1641,John Selden,False,True,True
Mr Beston,Caligula CIII,Undirected,unknown date,unknown date,unknown date,"‘Mr Beston’, unknown date (151: fols 230-31y, 462-65y, artt. 88, 197 of this + Galba E.VI + Vesp. F:VI).",True,False,True
Francis Bacon,Vespasian AXIII,Undirected,1613,,1613,? Francis Bacon,False,True,True
John Selden,Titus EI,Undirected,1653,1653,1653,"Selden, ? 1653 (241).",True,True,True
Robert Cecil,Vespasian CII,Undirected,1608,1605,1612,"(of fols 291-376, artt. 83-103, fols 119-22, artt. 119-22) Cecil, by the hand of Wilson, ¢.1605-12 (12.4)",True,True,True
James Ley,Titus BXI,Undirected,1611,1611,1611,"(? of part I, fols 2-28, artt. 1-27, fol. 45, art. 43) James Ley, 1611 (61.2)",True,True,True
William Le Neve,Titus CI,Undirected,1640,1640,1640,William Le Neve,True,True,True
John Selden,Claudius AIV,Undirected,1639,1639,1639,John Selden,True,True,True
John Selden,Julius BXIII,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Tib. B-XIH, C.III, Nero DVIII, Vit. C.X, E.V, VII, Dom. I, V, Cleo. D.V or Faust. C.IV).",True,True,True
Thomas Smith,Julius FX,Undirected,1690,1689,1691,"Thomas Smith asked to borrow F.X in about 1690 (Bodl., MS Smith 59 (SC 15666), p. 196).",True,True,True
William Watts,Vespasian DXXI,Undirected,1640,1640,1640,"William Watts, 1640 (206.3: this or Vit A-XIII)",False,True,True
James Ussher,Tiberius CVI,Undirected,1625,1625,1625,James Ussher,True,True,True
Lord William Howard|Nicholas Roscarrock,Titus AI,Undirected,1607,1607,,"Lord William Howard and Nicholas Roscarrock, 1607 or after (20.4: (1) this or Vesp. A-VI, or (2) Dom. XV)",False,True,True
Thomas Smith,Julius CIII,Undirected,1690,1690,1690,"Thomas Smith, 1690 (Bodl., MS Smith 59 (SC 15666), p. 193).",True,True,True
Henry Howard,Nero AI,Undirected,1612,1611,1613,"Henry Howard, c.1612 (21.4",True,True,True
Patrick Young,Vitellius EXVIII,Undirected,1616,1615,1617,"Patrick Young c.1616 (49.35, 134.26: (2) this or (1) Tib. C.VI, and see below)",False,True,True
William Greene,Julius EI,Undirected,1639,1639,1639,"William Greene, 1639 (189.2)",True,True,True
James Ussher,Nero EI,Undirected,1641,1641,1641,? Ussher,True,True,False
Bulstrode Whitelocke,Galba DIV,Undirected,1652,1652,1652,"Bulstrode Whitelocke, 1652 (231.25, 26: (1) this or Galba DN, or (2) D.V1",False,True,True
James Ussher,Nero AI,Undirected,1646,1646,1647,James Ussher,True,True,True
John Selden,Cleopatra BIII,Undirected,1640,1640,1640,John Selden,True,True,True
John Selden,Caligula AIV,Undirected,1638,1637,1639,"Selden, ¢.1638 (163.3: (1) this, Tib. B.X, Vit. FXVIII or XIX, or (2) Tib. A.I or Vit. A.IV)",False,True,True
Patrick Young,Tiberius AXV,Undirected,1616,1615,1617,"(of fols 1-173, Smith art. 1) Patrick Young, c.1616 (49.10. Young has annotated fols 35v and 64)",True,True,True
Henry Bourchier,Vitellius BV,Undirected,1637,,1637,"Henry Bourchier, before 1637 (79.2: ? this).",True,True,True
James Ussher,Vespasian AXIV,Undirected,1621,1621,1621,James Ussher,True,True,True
Henry Bourchier,Titus AXXIII,Undirected,1637,,1637,Henry Bourchier,True,True,True
Richard Bancroft,Otho CXIV,Undirected,1609,1609,1609,"? Richard Bancroft, 1609 (33)",True,True,False
Augustine Vincent,Vitellius AVIII,Undirected,1621,1621,1622,"Augustine Vincent, 1621-22 (2.106).",True,True,True
Henry Howard,Vespasian CII,Undirected,1612,1611,1613,"(of the same sections) Henry Howard, ¢.1612 (21.7).",True,True,True
Richard Bancroft,Titus AI,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.21: (1) this, Nero A.XV, XVI, Dom. XV, or (2) Otho E.V)",False,True,True
James Ussher,Claudius EIV,Undirected,1621,1621,1621,James Ussher,True,True,True
Henry Montagu,Claudius AVIII,Undirected,1631,,1631,"? Montagu, by 1631 (120.5: ? this)",True,True,False
Lord William Howard,Titus BII,Undirected,1638,1638,1638,"(of fols 84-90, art. 48, of this, or of Vesp. D.XVIII) Sir William Howard, 1638 (123.2, 125.2, 175.2): fol. 83, the cover sheet for art. 48, has in the top left hand corner ‘Bor: of Sir Rob: Cott< >’ and fol. 84 is annotated by Cotton",True,True,True
Lord William Howard,Vespasian DXVIII,Undirected,1638,1638,1638,"of at least fols 2-81, art. 1, of this, or of Tit. B.I1) Sir William Howard, 1638 (123.2, 125.2, 175.2).",False,True,True
John Selden,Tiberius CV,Undirected,1638,1638,1638,"John Selden, 1638 (153.1)",True,True,True
George Carew,Cleopatra EI,Undirected,1616,1616,1616,"(of fols 189-90, art. 45) George Carew (d. 1629), 1616 (106.3)",True,True,True
Patrick Young,Vitellius CVIII,Undirected,1616,1615,1617,Patrick Young,True,True,True
Basil Brooke,Cleopatra EIII,Undirected,1631,,1631,"Basil Brooke, by 1631 (113.27: this, Cleo. E.I, II, F.I or II)",False,True,True
James Ussher,Tiberius AXIV,Undirected,1624,1624,1624,Either A.XIV or Tib. C.II,False,True,True
William Camden,Nero BIII,Undirected,1617,1617,1617,"William Camden, 1617 (6.1: this, Nero B.IV or V)",False,True,True
Henry Montagu,Otho EIX,Undirected,1631,,1631,Henry Montagu,True,True,True
James Ussher,Vitellius AXII,Undirected,1621,1621,1621,"James Ussher, 1621 (2.10",True,True,True
Thomas Coventry,Titus EI,Undirected,1631,,1631,Thomas Coventry,False,True,True
Patrick Young,Vespasian AXIV,Undirected,1616,1615,1617,"(of at least fols 1-105, artt. 1-4, and fols 114~71, artt. 9-16) Patrick Young, c.1616 (49.11)",True,True,True
Hart,Domitian XV,Undirected,1617,,1617,"Hart, by 1617 (111.2: (2) this or (1) Tit. A.I)",False,True,True
James Ussher,Tiberius CXIII,Undirected,1611,1610,1612,James Ussher,True,True,True
John Selden,Tiberius AXIII,Undirected,1616,,1616,John Selden,True,True,True
Humfrey Wanley,Tiberius BIV,Undirected,1709,1709,1709,"Humfrey Wanley, 1709 (Add. MS 44879, fol. iv",True,True,True
Thomas Cannon,Vitellius CIX,Undirected,unknown date,,,Thomas Cannon,True,True,True
John Strype,Vitellius FV,Undirected,unknown date,,,John Strype,True,True,True
Arthur Agarde,Claudius AVI,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
James Ussher|William Laud|George Abbot,Nero CVII,Undirected,1634,1633,1635,James Ussher,False,False,False
John Selden,Cleopatra FII,Undirected,1640,1640,1640,"John Selden, 1640 (209.13: this or Cleo. F.I).",False,True,True
Edward Coke,Julius FIII,Undirected,1616,1612,1621,"Edward Coke, ¢.1612-21 (83.4: ? this, but see below)",True,True,True
John Selden,Galba BIII,Undirected,1621,1621,1621,John Selden,True,True,True
John Selden,Vitellius AIV,Undirected,1638,1637,1639,John Selden,False,True,True
Edward Coke,Domitian XV,Undirected,1612,1611,1613,"Edward Coke, c.1612 (53.4: ? this or ? Tit. A.1)",False,True,True
Henry Bourchier,Tiberius AXIV,Undirected,1623,1623,1623,This or Tib. C.I used by Henry Bourchier in 1623,False,True,True
John Pory,Vitellius EXIV,Undirected,1612,,1612,"Pory, ? by 1612 (25.9: (1) this or (2) Vit. D.VIL)",False,False,True
William Noy,Cleopatra FI,Undirected,1628,,1628,William Noy,False,True,True
Robert Cecil,Caligula DXI,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
Richard Bancroft,Nero AXV,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
Henry Montagu,Caligula AXII,Undirected,1621,1621,1621,"Henry Montagu, 1621 (2.21: this or Calig. A-XIII)",False,True,True
Richard Bancroft,Cleopatra EII,Undirected,1608,1607,1610,"Richard Bancroft, 1607-10, by hand of Zachariah Pasfeild (30.6: this, Cleo. E.1, III, F.1 or II)",False,True,True
