Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 3692,Next that a tournament was tried,Cf. 845.,"gallants, criticism/satire of;satire;jousts;tournaments",gallants;satire;jousts;tournaments,— twelve-line — aabccbddbeeb,"‘The justis betuix the tailyeour and sowtar’, by William Dunbar — nine 12-line tail-rhyme stanzas",,William Dunbar,,‘The justis betuix the tailyeour and sowtar’,,Text,3
DIMEV 4520,Rutterkin is come unto our town,"Cf. Speech of Abusione in Magnificence (391), Stage 2, scene 12",satire;gallants,satire;gallants,— four-line,"A satire on gallants, perhaps by John Skelton — four quatrains and burden: ‘Hoyda, hoyda jolly rutterkin’",,John Skelton,uncertain,,,Text,1
DIMEV 33,A dragon with a red rose that is of great fame,,prophecies;games,prophecies;games,— four-line — abab,"An English prophecy, with Latin interpolations, including ‘Cast of the Dice’ (cf. 6412) — 85 lines in cross-rhymed quatrains",,,,,,Text,1
DIMEV 959,Cassamus rose after this talking,"Cf. 1318, 3618.","games, courtly",games,— eight-line — ababbcbc,"The courtly game of ‘Le roi qui ne ment’, an extract from the Voeux du Paon (lines 1604-1977) — 566 lines in 71 numbered 8-line stanzas",,,,Voeux du Paon (extract),,Text,1
DIMEV 6139,Versificator is of four letters make thou a verse,,riddles;games,riddles;games,,Three macaronic lines on ‘Ivi munivi vinum minimum munuivi’,Latin,,,,,Text,1
DIMEV 4834,Shroud him not ne make him not too bare,,herbals;gardening,herbals;gardening,— four-line — unrhymed,"Blank verse lines, written as verse, at end of prose English text on Rosemary — four lines",,,,,,Text,1
DIMEV 6636,Whoso will a gardener be,,gardening,gardening,— two-line — aa,"A Poem on Gardening, ‘Liber qui vocatur Anglice Mayster Jon Gardener’ — 196 lines in couplets",,,,‘Liber qui vocatur Anglice Mayster Jon Gardener’,,Text,1
DIMEV 6826,Ye lords eke shining in noble fame,,"Garter, Order of",Garter,— eight-line — ababbcbc,"Thomas Hoccleve, Balade au tres honourable compaignie du Garter — four 8-line stanzas (same three rhymes throughout).",,Thomas Hoccleve,,Balade au tres honourable compaignie du Garter,,Text,2
DIMEV 530,And said I dread no threat,"Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 155.","romances;Gawain, stories of",romances;Gawain,— six-line — aabccb,The Jeaste of Syr Gawayne — 541 lines in 6-line stanzas,,,,The Jeaste of Syr Gawayne,,Text,1
DIMEV 3642,My mind is mickle on one that will me nought amende,,"lover’s lament;illustrations, verse accompanying;Gawain",lover’s lament;illustrations;Gawain,— couplet — aa,"Lament of a lover — one couplet with medial rhyme, with illustration showing Gawain and wife of Green Knight",,,,,,Text,1
DIMEV 725,At Sarai in the land of Tartary,,pilgrims/pilgrimage;gentillesse;marvels;love,pilgrims/pilgrimage;gentillesse;marvels;love,— couplets — aa,"Geoffrey Chaucer, the Squire’s Tale of the Canterbury Tales — 664 lines in couplets.",,Geoffrey Chaucer,,Squire’s Tale; Canterbury Tales,,Text,53
DIMEV 2665,In whom is truth pity freedom and hardiness,"Variant on the epilogue to Chaucer’s ‘Gentilesse’ (5277), which appears in one MS.","gentleman, qualities of",gentleman,— two-line — aa,Qualities of a Gentleman — two couplets,,,,,,Text,1
DIMEV 2745,It is the property of a gentleman,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 837.","gentleman, qualities of;proverbs",gentleman;proverbs,— two-line — aa,Proverbial statement about gentlemen’s speech — one couplet,,,,,,Text,1
DIMEV 5277,The first stock father of gentilesse,"Inserted also in Scogan’s ‘Moral Balade’, for which see 3645; in one manuscript with two-couplet epilogue; unattributed editions, Anderson (1793) XAnderson, Robert. The Works of the British Poets, or, Complete Edition of the Poets of Great Britain. 13 vols. Vol. 1. Edinburgh, 1793; London, 1795, 1.579; Clarke (1835) XClarke, Charles Cauder. The Riches of Chaucer. London: T. Tegg, 1835, 1839, 2.306.","gentleman, qualities of",gentleman,— seven-line — ababbcc,"Geoffrey Chaucer, ‘Gentilesse’ — three stanzas rhyme royal",,Geoffrey Chaucer,,‘Gentilesse’,,Text,11
DIMEV 1909,He that will his soul leche / Listeneth to me and I woll…,"For other MSS see 3212; for prose versions cf. Canterbury Cath. Z.8.33, olim Ingilby, f. 1; Aberystwyth, National Library of Wales Brogyntyn ii.1 [olim Porkington 10], f. 132","treatises, devotional;geographical writings;pilgrims/pilgrimage",treatises;geographical writings;pilgrims/pilgrimage,— two-line — aa,‘The Stacions of Rome’ — in couplets,,,,The Stacions of Rome,,Text,7
DIMEV 3212,Lord Jesu Christ in Trinity / Three persons in unity,For other texts which lack the Prologue see 1909.,pilgrims/pilgrimage;geographical writings,pilgrims/pilgrimage;geographical writings,— two-line — aa,"‘The Stacions of Rome’, in couplets, with a Prologue of 78 lines",,,,The Stacions of Rome,,Text,2
DIMEV 5790,This world is dealed all on three,,geography,geography,— two-line — aa,A geography in verse — in couplets,,,,,,Text,3
DIMEV 1579,God save King Harry wherever he go or ride,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 485; probably for Henry VIII.","George, saint;prayers, special occasions;Henry VIII, prayers for",George;prayers;Henry VIII,— two-line — aa,‘Sent george be hys forman hovre blyssyd lady be hys gyde’ — one long couplet,,,,,,Text,1
DIMEV 4108,O ye folks that here present be,,"George, saint, legend of",George,— seven-line — ababbcc,"John Lydgate, ‘Legend of St. George’ — thirty-five stanzas rhyme royal",,John Lydgate,,‘Legend of St. George’,,Text,4
DIMEV 4204,Of Saint George our Ladys knight,,"George, saint;introductions, to prose texts",George;introductions,— two-line — aa,Introductory couplet to an English prose prayer,,,,,,Text,2
DIMEV 4600,Saint George of the kingric of Cappadocia so clear,,"George, saint",George,— four-line — aaaa,The ‘Hours’ of St. George — twenty-one quatrains,,,,,,Text,1
DIMEV 4602,Saint George the good knight a holy man was he,For the ordinary text see 4603.,"saints’ lives;George, saint, life of",saints’ lives;George,— two-line — aa,A variant text of the Life of St. George in the South English Legendary — couplets,,,,South English Legendary,,Text,1
DIMEV 4603,Saint George the holy man as we findeth I-write,For a variant see 4602.,"saints’ lives;George, saint, life of",saints’ lives;George,— two-line — aa,Life of St. George in the South English Legendary — couplets,,,,South English Legendary,,Text,21
DIMEV 6857,Yet of Saint George is my will,,"George, saint, life of;saints’ lives",George;saints’ lives,— two-line — aa,"Life of St. George, in the Scottish Legendary — in couplets",,,,Scottish Legendary,,Text,1
DIMEV 2621,In the Roman Acts written is thus,,"Gerelaus, emperor",Gerelaus,— seven-line — ababbcc,"Thomas Hoccleve, ‘Tale of the Emperor Jereslaus,’ trans. from the Gesta Romanorum, one of several works in verse and prose that form Hoccleve’s Series, usually preceded by 508 and followed by 4879 but sometimes occurring separately—140 stanzas rhyme royal.",,Thomas Hoccleve,,Tale of the Emperor Gerelaus,,Text,9
DIMEV 4604,Saint Germanus the holy man in Antissiodorum was I-bore,,"saints’ lives;Germanus, saint, life of",saints’ lives;Germanus,— two-line — aa,Life of St. Germanus in one MS of the South English Legendary — couplets,,,,South English Legendary,,Text,1
DIMEV 4605,Saint Giles the holy man ne loved no sin,,"saints’ lives;Giles, saint, life of",saints’ lives;Giles,— two-line — aa,Life of St. Giles in the South English Legendary — couplets,,,,South English Legendary,,Text,13
DIMEV 26,A cross was made all of red / In the beginning of my book,"Compare the three lines in Cambridge UK, Trinity College O.3.12 (1184), extra flyleaf. For Prohemium, see 1206; for Envoy, see 6837. Singer (1928) XSinger, Dorothea Waley. Catalogue of Latin and Vernacular Alchemical Manuscripts. 3 vols. Brussels: Lamertin, 1928-31, 1059.","prologues;Glanville, De Proprietatibus Rerum, prologue to",prologues;Glanville,— four-line — abab,The Translator’s Prologue to Trevisa’s version of Glanville’s De Proprietatibus Rerum — six cross-rhymed quatrains.,,John Trevisa,,De Proprietatibus Rerum (Glanville),,Text,6
DIMEV 567,As a sea flowing,Cf. 187.,"Gloria mundi est;transitoriness, of world",Gloria mundi est;transitoriness,— two-line — aa,Gloria mundi est — four lines in John Grimestone’s sermon notes,,John Grimestone,,,,Text,1
DIMEV 199,Abide and leave thou this journey,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 838,Better it is in the way to go,,"precepts, moral;journeys, prognostications concerning;prognostications;glosses;translations",precepts;journeys;prognostications;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 840,Better it were to stand and not to go,,"precepts, moral;journeys, prognostications concerning;prognostications;glosses;translations",precepts;journeys;prognostications;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 1430,Forth thou shalt go with joy,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 2367,If in this journey thou wilt go,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 2391,If the sick be well kept,,prognostications;medicine;glosses;translations,prognostications;medicine;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 4222,Of the sick as I understand long shall lie,,prognostications;medicine;glosses;translations,prognostications;medicine;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 4223,Of the sick take no dread,,prognostications;medicine;glosses;translations,prognostications;medicine;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 4382,Plenty of money things,,"precepts, moral;wealth, dangers of;glosses;translations",precepts;wealth;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 4524,Safe out thou shalt go,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 4839,Sickness shall hold him sure,,prognostications;medicine;glosses;translations,prognostications;medicine;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 5520,The way is good and profitable,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 5723,This journey thou shalt withstand,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 5867,Thou wouldst of riches have and know,,"precepts, moral;wealth, wise use of;glosses;translations",precepts;wealth;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 5894,Though thou proposest to go at need,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 6017,To the sick thou shalt tell of life,,prognostications;medicine;glosses;translations,prognostications;medicine;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 6030,To thy journey thou take good heed,,"prognostications;journeys, prognostications concerning;glosses;translations",prognostications;journeys;glosses;translations,— two-line — aa,"Couplets scattered in text of Bernardus Sylvestris, Experimentaris…",,Bernardus Sylvestris,,,,Text,1
DIMEV 197,A word of plaining of his woe,,"sermons, verse in;God, gifts of",sermons;God,— two-line — aa,Gifts offered to the Christian soul — four couplets in a Latin sermon,,,,,,Text,1
DIMEV 325,All ghostly songs and hymns that be sung,,"mercy, songs of;God, praise to",mercy;God,— eight-line — ababbcbc,"John Lydgate, ‘Misericordias Domini in Eternum Cantabo’ — 24 eight-line stanzas with ‘syng’ last word of each stanza",,John Lydgate,,‘Misericordias Domini in Eternum Cantabo’,,Text,3
DIMEV 386,All the way that God goth by,,"God, mercy of",God,— two-line — aa,God’s mercy — one couplet in John Grimestone’s sermon notes translating ‘Omnes vie Domini tue misericoridia et veritas‘ (Tobias 3:2) which precedes it,,John Grimestone,,,,Text,1
DIMEV 547,And took me,,"sermons, verse in;God, mercy of",sermons;God,— six-line — aaaa,"On God’s mercy in accepting us into heaven, in a Latin sermon — six monorhyming lines",,,,,,Text,1
DIMEV 1122,Deus caritas est,,"God, love of;mercy, works of",God;mercy,— eight-line — abababab,Deus Caritas — seven 8-line stanzas,Latin,,,Deus Caritas,,Text,2
DIMEV 1233,Evil men God they seeken [Vuele men goid þe siechen],,"penance;God, mercy of;translations",penance;God;translations,— two-line — aa,"On the need of evil men to seek God, as other needy men seek their remedies, translating ‘Viri mali requirunt dominum…’ — five couplets",,,,,,Text,1
DIMEV 1552,God departeth His gifts diversely,,"God, gifts of",God,— eight-line,"‘Benedictus deus in donis suis’, by Lydgate — nine 8-line stanzas",,John Lydgate,,‘Benedictus deus in donis suis’,,Text,2
DIMEV 1564,God is a substance forever durable,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 482; Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 491.","God, goodness of",God,— seven-line — ababbcc,God’s goodness — one stanza rhyme royal,,,,,,Text,3
DIMEV 1565,God is mine helper and ay shall be,,"God, attributes of",God,— eight-line — ababbcbc,‘God is myn Helpere’ by Lydgate — thirteen 8-line stanzas,,,,‘God is myn Helpere’,,Text,1
DIMEV 1640,Gods wreche late awreaketh,,"God;God, will of;God, wrath of;translations",God;translations,— two-line — aa,"A tag translating the Latin ‘Lento pede procedet divinitas &c’, which precedes it — one monorhyming couplet",,,,,,Text,1
DIMEV 1817,He abide tholemodely,,"God, mercy of",God,,On the Mercy of God — four lines,,,,,,Text,1
DIMEV 1875,He that is of God delighteth ay to hear sermonification,,"God, attributes of",God,— eight-line,On God’s Providence — one 8-line stanza,,,,,,Text,1
DIMEV 2287,I stand as still as any stone,,"God, attributes of",God,— four-line — abab,God amends all — one quatrain,,,,,,Text,1
DIMEV 2322,I wonder much in the writing above,,"sermons, verse in;God, love of",sermons;God,— two-line — aa,A question and answer on the love of God — two couplets in a Latin sermon commentary,,,,,,Text,1
DIMEV 2340,I-blessed be God over all thing,,"God, mercy of;mercy, songs of;scripture, Engl. trans. of",God;mercy;scripture,— two-line — aa,"Rejoice in God’s Mercy — two couplets translating the portion of the psalm ‘Benedictus deus qui non amouit orationem meam’, which precedes it",,,,,,Text,1
DIMEV 2374,If love of parents may allure,,"God, fear of",God,— four-line — abab,Chose God instead of wordly goods — one quatrain (abab),,,,,,Text,1
DIMEV 2506,In God is all my trust,,"God, trust in",God,— two-line — aa,Trust in God — one couplet,,,,,,Text,1
DIMEV 2527,In libro men shall read,,"Scripture;God, word of",scripture;God,— monorhyme — aaaa,Verbum domini comparatur — four monorhyming lines,Latin,,,Verbum domini comparatur,,Text,1
DIMEV 2547,In my conscience I find / And in my soul I hear & see,,"God, appeal of, to man",God,— eight-line — abababab,God’s Appeal to Man — fourteen 8-line stanzas,,,,,,Text,1
DIMEV 3270,Love him both morrow and eve,,"God, love toward",God,— two-line — aa,Inscriptions on the two halves of the open heart by an image of the God of Love in Athens — two couplets,,,,,,Text,1
DIMEV 3478,Mercy abide and look all day,For an incomplete version see 3482.,"God, mercy of",God,— two-line — aa,On the Mercy of God — five couplets,,,,,,Text,2
DIMEV 3482,Mercy is hendest where sin is most,For the complete version see 3478.,"God, mercy of",God,— two-line — aa,On the Mercy of God — three couplets,,,,,,Text,1
DIMEV 3630,My lord with heart I pray thee withouten voice will still,,"prayers;God, will of",prayers;God,— two-line — aa,Oracio bona — one couplet from John Grimestone’s preaching notebook,,John Grimestone,,,,Text,1
DIMEV 3669,My word is Deo gracias / In world where me be well or woe,,"God, goodness of",God,— eight-line — ababbcbc,"A second song of Deo Gracias — six 8-line stanzas, with ‘Deo gracias’ refrain",,,,,,Text,2
DIMEV 3970,O Lord Our Lord Thy name how marvelous,,pilgrims/pilgrimage;links;God;Virgin Mary,pilgrims/pilgrimage;links;God;Virgin Mary,"— rhyme royal, seven-line — ababbcc","Geoffrey Chaucer, the Prioress’s Prologue of the Canterbury Tales — 35 lines in 7-line, rhyme royal stanzas.",,Geoffrey Chaucer,,Prioress’s Prologue; Domine dominus noster; Canterbury Tales,,Text,58
DIMEV 5119,Te deum Laudamus To the Lord sovereign,,"God, praise to",God,— eight-line — ababbcbc,"John Lydgate, a song of Thanksgiving, attributed to Lydgate — thirteen 8-line stanzas with refrain: ‘Te laudat omnis spiritus’",Latin,John Lydgate,attributed,,,Text,1
DIMEV 5574,There is father kindly,,"God, goodness of",God,— six-line — aaabbb,On God’s goodness — six lines,,,,,,Text,1
DIMEV 5721,This is the will that God is in,,"sermons, verse in;sins, deadly;penance;God, will of",sermons;sins;penance;God,— two-line — aa,God’s wish that man be pure — one couplet in a Latin sermon,,,,,,Text,1
DIMEV 5988,To love I will begin,,"God, love of",God,— eight-line — abababab,‘A Mournyng Song of the Loue of God’ — thirty-two 8-line stanzas,,,,A Mournyng Song of the Loue of God,,Text,2
DIMEV 6069,True love is a law that seemeth he had not right,,"God, love of;love, nature of;sermons, verse in",God;love;sermons,— three-line — aaa,"On God’s Love — three monorhyming lines in a Latin sermon for Corpus Christi by Lawrence Bretoun, OFM",,,,,,Text,2
DIMEV 6290,When dread of God is within,,"God, dread of",God,— two-line — aa,A single couplet in a Latin sermon,,,,,,Text,1
DIMEV 6689,Will ye of other points lere,,"introductions, to prose works;God, points pleasing to",introductions;God,— two-line — aa,Couplet introduction to a brief prose treatise on the points most pleasing to God,,,,,,Text,1
DIMEV 6763,With wrong or noy if [?],,"God, trust in",God,— eight-line,"Verses admonishing the reader to trust in God — eight lines, all ending imperfectly",,,,,,Text,1
DIMEV 2209,I Leofric for the love of thee,"Cf. 760, lines 3-4.","Godiva, lady",Godiva,— two-line — aa,Couplet commemorating ride of Lady Godiva,,,,,,Text,0
DIMEV 980,Christ and Saint Mary so on shamble me I-led,,"Godric, saint, prayer of;prayers, of saints;songs",Godric;prayers;songs,— two-line — aa,St Godric’s prayer in Reginald’s Vita S. Godrici — a single couplet,,Reginald,,Vita S. Godrici,,Text,4
DIMEV 4701,Saint Mary clean virgin,"Critical edition: Zupitza (1888) XZupitza, Julius. “Cantus beati Godrici.” Englische Studien 11 (1888): 401-32, 415-21.","hymns to Virgin Mary;hymns to Virgin Mary;Godric, saint",Virgin Mary;Godric,— two-line — aa,St. Godric’s hymn to the Virgin — eight lines,,,,,"Oxford, Bodleian Library Fairfax 6 (SC 3886)",Text,12
DIMEV 4734,Saint Nicholas Gods drut,,"Godric, saint;prayers, to saints;Nicholas, saint",Godric;prayers;Nicholas,— two-line — aa,"St. Godric’s prayer to St. Nicholas — four lines, recorded by Geoffrey of Durham",,,,,,Text,2
DIMEV 203,Abide in thine good deed,,"sermons, verse in;good deeds",sermons;good deeds,— two-line — aa,"On heaven being the reward for good deeds, in a Latin sermon — one couplet",,,,,,Text,1
DIMEV 1925,Heaven bliss to his meed,,inscriptions;good deeds;good deeds,inscriptions;good deeds,— two-line — aa,Promise of reward for good deeds — one couplet,,,,,,Text,0
DIMEV 5672,This day Saint Luke telleth us,For other MSS see 6047; for the version in the ‘expanded’ Cycle see 4687.,sermon texts;gospels,sermon texts;gospels,— two-line — aa,"Gospel for Second Sunday in Advent, in the Northern Homily Cycle",,,,Northern Homily Cycle,,Text,1
DIMEV 986,Christ cross me speed ABC,"Related to The gossips feast ( The gossips feast: or, a merry meeting of women kinde each other greeting. VVhich by a fire with spiced ale, told many a pleasant Christmas tale. To a delicate northerne tune: or, there was an old man sate piping, [London]: Printed at London [by M. Flesher?] for Thomas Lambert at the signe of the Hors-shoo in Smithfield, [1635?] )?",gossip,gossip,— two-line — aa,‘How þe gosyps made a royal feest’ — in couplets,,,,‘How þe gosyps made a royal feest’,,Text,0
DIMEV 5531,The wise man the fire shall beat,,"governance;servants, advice to;servants, instructions to",governance;servants,— two-line — aa,On good governance of a household — three couplets,,,,,,Text,1
DIMEV 227,Afore meat and after gracias say we,,"grace, at meals",grace,— seven-line — ababbcc,Grace before and after meat — one stanza rhyme royal,,,,,,Text,1
DIMEV 435,Almighty God so merciable,,"grace, at meals",grace,— six-line — aabaab,Grace before meat — one 6-line stanza,,,,,,Text,2
DIMEV 826,Beseechen benignly every creature,,"grace, at meals;Margaret, saint;Katherine of Alexandria, saint;Virgin Mary;grace, at meals",grace;Margaret;Katherine of Alexandria;Virgin Mary;grace,— four-line — abab,"A grace before meat to SS. Katherine, Mary and Margaret — four quatrains",,,,,,Text,1
DIMEV 906,But if I appeal from the law of script to the law of grace,,"sermons, verse in;law;grace",sermons;law;grace,— two-line — aa,On the difference between human and divine law — one couplet in a Latin sermon,,,,,,Text,1
DIMEV 1011,Christ that bread broke,Texts vary materially; see also 1602.,"grace, at meals",grace,— six-line — aabccb,Grace before supper — six or eight lines,,,,,,Text,5
DIMEV 1029,Christs courteous cleping,,"sermons, verse in;grace",sermons;grace,— four-line — aaaa,Phrases describing grace in a Latin sermon — four monorhyming phrases,,,,,,Text,1
DIMEV 2164,I grace dieu queen and heavenly princess,,translations;grace;letters,translations;grace;letters,— seven-line — ababbcc,"Thomas Hoccleve, ‘The epistle of grace sent to the seek man’, in the English translation of the Pèlerinage de l’âme — twenty-six stanzas rhyme royal",,Thomas Hoccleve,,Pèlerinage de l’âme; ‘The epistle of grace sent to the seek man’,,Text,9
DIMEV 2912,Jesu that diedest on the rood,,"grace, at meals",grace,— six-line — aabccb,Grace after meat — two 6-line stanzas,,,,,,Text,2
DIMEV 3240,Lord with this sustenance,,"grace, at meals",grace,— eight-line — aabccbdd,Grace after supper — one 8-line stanza (aabccbdd),,,,,,Text,2
DIMEV 3371,Man ne hath not grace for God give it not,,grace;translations,grace;translations,— two-line — aa,"God’s grace — one couplet translating ‘Homo non habet graciam non quia hanc non dat Deus’, attributed in the MS to Anselm, which precedes it in John Grimestone’s sermon notebook",,John Grimestone;Saint Anselm of Canterbury,attributed,,,Text,1
DIMEV 3456,Me liketh ever the longer the bet,,"grace, at meals;Winchester, city of;songs",grace;Winchester;songs,— four-line — abab,"Grace for a Winchester civic feast — a two-part song, two quatrains (abab)",,,,,,Text,1
DIMEV 6622,Whoso oft sayeth this is with good will,,"grace;prayers, to Holy Ghost;prayer, value of",grace;prayers,"— Quatrain, monorhyming — aaaa","Promise of grace to those who often say the preceding prayer (5077), immediately following 5077 — four lines monorhyming",,,,,,Text,3
DIMEV 4460,Remember man the great preeminence,,gratitude to God;inscriptions,gratitude to God;inscriptions,— eight-line — ababbcbc,Reminder to mankind to be grateful to God — one 8-line stanza,,,,,,Text,0
DIMEV 5786,This world foul is and cleanseth lite,"Cf. Walther (1963) XWalther, Hans. Proverbia sententiaque latinitatis medii aevi. 6 vols. Göttingen, 1963-69, no. 15467.","sermons, verse in;greed;translations",sermons;greed;translations,— two-line — aa,"On shunning greed — a tag in the Fasciculus morum, translating a Latin distich",,,,,"Spalding, Lincolnshire, Spalding Gentlemen’s Society M.J.B.14 [olim Maurice Johnson No. LIV], f. 83v: not in this MS.",Text,7
DIMEV 6035,To waxen rich with great blame,,translations;greed,translations;greed,— two-line — aa,On the Avaricious Man — one couplet translating ‘Ditari nitor non curo quomodo ditor’ in John Grimestone’s preaching notebook,,John Grimestone,,,,Text,1
DIMEV 365,All that beth in sin I-bound / And think Gods mercy,This is a later recension of 370.,"Gregory, pope;saint’s life",Gregory;saint’s life,— eight-line,Gregorius — in 8-line stanzas,,,,Gregorius,,Text,1
DIMEV 370,All that I in word and deed / I thank hit God all folks king,For a later recension see 365.,"Gregory, pope;saint’s life",Gregory;saint’s life,— eight-line — ababcdcd,Gregorius — in 8-line stanzas,,,,Gregorius,,Text,4
DIMEV 4606,Saint Gregory a tale us tells,,"Gregory, saint",Gregory,— two-line — aa,Gregory’s Aunts: a Narratio in the Northern Homily Cycle,,,,Northern Homily Cycle,"Cambridge UK, Cambridge University Library Dd.1.1, f. 202: ends just where this Narracio should begin.",Text,5
DIMEV 4609,Saint Gregory the confessor in Sicily was I-bore,,"saints’ lives;Gregory, saint, life of",saints’ lives;Gregory,— two-line — aa,Life of St. Gregory in the South English Legendary — couplets,,,,South English Legendary,,Text,21
DIMEV 4979,Some time in Rome a pope there was,"For other versions, cf. 134, 762, 2777, and 4980.","tales;Gregory, saint",tales;Gregory,— two-line — aa,The trental of Saint Gregory — 101 couplets,,,,Trentalle Sancti Gregorii,,Text,4
DIMEV 6120,Upon a day Saint Gregory,,"Gregory, saint",Gregory,— two-line — aa,"John Audelay, ‘Quomodo dominus ihesu Cristus apparuit sancto Gregorio’ — an introduction to 5072 and 3965",,John Audelay,,‘Quomodo dominus ihesu Cristus apparuit sancto Gregorio’,,Text,1
DIMEV 3366,Man is like the snow melting,,"transitoriness, of life;growth and maturation",transitoriness;growth and maturation,,What man is like — three rhyming lines,,,,,,Text,1
DIMEV 6223,Were this winter away well would I ween,,"historical poems;Guines, capture of",historical poems;Guines,— six-line — alliteration,"Laurence Minot, The Taking of ‘Þe castell of Gynes’ — forty long lines in 6-line stanzas (aaaabb)",aaaabb,Laurence Minot,,The Taking of ‘Þe castell of Gynes’,,Text,1
DIMEV 4611,Saint Guthlac was I-bore here in England,,"saints’ lives;Guthlac, saint, life of",saints’ lives;Guthlac,— two-line — aa,Life of St. Guthlac in the South English Legendary — couplets,,,,South English Legendary,,Text,3
DIMEV 905,But I the ghost of Guido him…,Cf. 4730.,romances;Guy of Warwick,romances;Guy of Warwick,— two-line — aa,Gast of Gy — fragment of fifteen lines in couplets,,,,Gast of Gy,,Text,0
DIMEV 1464,From Christs birth complete nine hundred year,"Ringler Jr. (1988) XRingler Jr., William A. Bibliography and Index of English Verse Printed 1476-1558. London: Mansell, 1988, TP 440.5.",romances;Guy of Warwick,romances;Guy of Warwick,— eight-line stanza — ababbcbc,"John Lydgate, Guy of Warwick — 592 lines in 8-line stanzas",,John Lydgate,,Guy of Warwick,,Text,7
DIMEV 1557,God grant them heaven bliss to meed / That harken…,For other texts see 2907.,romances;Guy of Warwick,romances;Guy of Warwick,— twelve-line — aabaabccbddb,The Romance of Guy of Warwick: the story of Guy after marriage — 299 12-line stanzas.,,,,The Romance of Guy of Warwick,,Text,1
DIMEV 1782,Harkeneth all to my speech,,Guy of Warwick;romances,Guy of Warwick;romances,— two-line — aa,‘Speculum Gy de Warewyke’ (also entitled ‘Speculum Mundi’ and ‘Speculum vtile istius mundi’) — in couplets,,,,‘Speculum Gy de Warewyke’; ‘Speculum Mundi’; ‘Speculum vtile istius mundi’,,Text,10
